"CubeId";"zimoma"
"PublishingDate";"2023-04-03 14:30"

"Date";"D0";"Value"
"1977-07";"EURIBOR";
"1977-07";"3M4";
"1977-08";"SARON";
"1977-08";"1TGT";"0.5"
"1977-08";"EG3M";
"1977-08";"3M0";
"1977-08";"SOFR";
"1977-08";"3M1";
"1977-08";"TONA";
"1977-08";"3M2";
"1977-08";"SONIA";
"1977-08";"3M3";
"1977-08";"ESTR";
"1977-08";"EURIBOR";
"1977-08";"3M4";
"1977-09";"SARON";
"1977-09";"1TGT";"0"
"1977-09";"EG3M";
"1977-09";"3M0";
"1977-09";"SOFR";
"1977-09";"3M1";
"1977-09";"TONA";
"1977-09";"3M2";
"1977-09";"SONIA";
"1977-09";"3M3";
"1977-09";"ESTR";
"1977-09";"EURIBOR";
"1977-09";"3M4";
"1977-10";"SARON";
"1977-10";"1TGT";"0"
"1977-10";"EG3M";
"1977-10";"3M0";
"1977-10";"SOFR";
"1977-10";"3M1";
"1977-10";"TONA";
"1977-10";"3M2";
"1977-10";"SONIA";
"1977-10";"3M3";
"1977-10";"ESTR";
"1977-10";"EURIBOR";
"1977-10";"3M4";
"1977-11";"SARON";
"1977-11";"1TGT";"0"
"1977-11";"EG3M";
"1977-11";"3M0";
"1977-11";"SOFR";
"1977-11";"3M1";
"1977-11";"TONA";
"1977-11";"3M2";
"1977-11";"SONIA";
"1977-11";"3M3";
"1977-11";"ESTR";
"1977-11";"EURIBOR";
"1977-11";"3M4";
"1977-12";"SARON";
"1977-12";"1TGT";"0"
"1977-12";"EG3M";
"1977-12";"3M0";
"1977-12";"SOFR";
"1977-12";"3M1";
"1977-12";"TONA";
"1977-12";"3M2";
"1977-12";"SONIA";
"1977-12";"3M3";
"1977-12";"ESTR";
"1977-12";"EURIBOR";
"1977-12";"3M4";
"1978-01";"SARON";
"1978-01";"1TGT";"0"
"1978-01";"EG3M";
"1978-01";"3M0";
"1978-01";"SOFR";
"1978-01";"3M1";
"1978-01";"TONA";
"1978-01";"3M2";
"1978-01";"SONIA";
"1978-01";"3M3";
"1978-01";"ESTR";
"1978-01";"EURIBOR";
"1978-01";"3M4";
"1978-02";"SARON";
"1978-02";"1TGT";"0"
"1978-02";"EG3M";
"1978-02";"3M0";
"1978-02";"SOFR";
"1978-02";"3M1";
"1978-02";"TONA";
"1978-02";"3M2";
"1978-02";"SONIA";
"1978-02";"3M3";
"1978-02";"ESTR";
"1978-02";"EURIBOR";
"1978-02";"3M4";
"1978-03";"SARON";
"1978-03";"1TGT";"0"
"1978-03";"EG3M";
"1978-03";"3M0";
"1978-03";"SOFR";
"1978-03";"3M1";
"1978-03";"TONA";
"1978-03";"3M2";
"1978-03";"SONIA";
"1978-03";"3M3";
"1978-03";"ESTR";
"1978-03";"EURIBOR";
"1978-03";"3M4";
"1978-04";"SARON";
"1978-04";"1TGT";"0"
"1978-04";"EG3M";
"1978-04";"3M0";
"1978-04";"SOFR";
"1978-04";"3M1";
"1978-04";"TONA";
"1978-04";"3M2";
"1978-04";"SONIA";
"1978-04";"3M3";
"1978-04";"ESTR";
"1978-04";"EURIBOR";
"1978-04";"3M4";
"1978-05";"SARON";
"1978-05";"1TGT";"0"
"1978-05";"EG3M";
"1978-05";"3M0";
"1978-05";"SOFR";
"1978-05";"3M1";
"1978-05";"TONA";
"1978-05";"3M2";
"1978-05";"SONIA";
"1978-05";"3M3";
"1978-05";"ESTR";
"1978-05";"EURIBOR";
"1978-05";"3M4";
"1978-06";"SARON";
"1978-06";"1TGT";"0.25"
"1978-06";"EG3M";
"1978-06";"3M0";
"1978-06";"SOFR";
"1978-06";"3M1";
"1978-06";"TONA";
"1978-06";"3M2";
"1978-06";"SONIA";
"1978-06";"3M3";
"1978-06";"ESTR";
"1978-06";"EURIBOR";
"1978-06";"3M4";
"1978-07";"SARON";
"1978-07";"1TGT";"0.25"
"1978-07";"EG3M";
"1978-07";"3M0";
"1978-07";"SOFR";
"1978-07";"3M1";
"1978-07";"TONA";
"1978-07";"3M2";
"1978-07";"SONIA";
"1978-07";"3M3";
"1978-07";"ESTR";
"1978-07";"EURIBOR";
"1978-07";"3M4";
"1978-08";"SARON";
"1978-08";"1TGT";"0"
"1978-08";"EG3M";
"1978-08";"3M0";
"1978-08";"SOFR";
"1978-08";"3M1";
"1978-08";"TONA";
"1978-08";"3M2";
"1978-08";"SONIA";
"1978-08";"3M3";
"1978-08";"ESTR";
"1978-08";"EURIBOR";
"1978-08";"3M4";
"1978-09";"SARON";
"1978-09";"1TGT";"-1.25"
"1978-09";"EG3M";
"1978-09";"3M0";
"1978-09";"SOFR";
"1978-09";"3M1";
"1978-09";"TONA";
"1978-09";"3M2";
"1978-09";"SONIA";
"1978-09";"3M3";
"1978-09";"ESTR";
"1978-09";"EURIBOR";
"1978-09";"3M4";
"1978-10";"SARON";
"1978-10";"1TGT";"-0.375"
"1978-10";"EG3M";
"1978-10";"3M0";
"1978-10";"SOFR";
"1978-10";"3M1";
"1978-10";"TONA";
